"","person","day","cause_short","month","year","canine","dept_name","state","position"
"1","Constable Darius Quimby","Mon","Gunfire","Jan",1791,FALSE,"Albany County Constable's Office"," NY","Constable"
"2","Sheriff Cornelius Hogeboom","Sat","Gunfire","Oct",1791,FALSE,"Columbia County Sheriff's Office"," NY","Sheriff"
"3","Deputy Sheriff Isaac Smith","Thu","Gunfire","May",1792,FALSE,"Westchester County Sheriff's Department"," NY","Sheriff"
"4","Marshal Robert Forsyth","Sat","Gunfire","Jan",1794,FALSE,"United States Department of Justice - United States Marshals Service"," US","Marshal"
"5","Sheriff Robert Maxwell","Sun","Gunfire","Nov",1797,FALSE,"Greenville County Sheriff's Office"," SC","Sheriff"
"6","High Sheriff John Caldwell Cook","Tue","Gunfire","Oct",1804,FALSE,"Mecklenburg County Sheriff's Office"," NC","Sheriff"
"7","Watchman Christian Luswanger","Thu","Stabbed","Dec",1806,FALSE,"New York City Watch"," NY","Watchman"
"8","Deputy Sheriff John A. Gooch","Sat","Gunfire","Mar",1807,FALSE,"Livingston County Sheriff's Department"," KY","Sheriff"
"9","Deputy Sheriff Ebenezer Parker","Mon","Assault","Jan",1808,FALSE,"Cumberland County Sheriff's Office"," ME","Sheriff"
"10","Night Watchman George Workner","Tue","Stabbed","Mar",1808,FALSE,"Baltimore City Police Department"," MD","Watchman"
"11","Boatman Asa Marsh","Wed","Gunfire","Aug",1808,FALSE,"United States Department of the Treasury - Customs Service"," US","Boatman"
"12","Boatman Ellis Drake","Wed","Gunfire","Aug",1808,FALSE,"United States Department of the Treasury - Customs Service"," US","Boatman"
"13","Custom House Officer Daniel Miller","Mon","Gunfire","Jan",1810,FALSE,"United States Department of the Treasury - Customs Service"," US","Customs Officers"
"14","Deputy Sheriff John Tileston Downes","Mon","Gunfire","Jan",1811,FALSE,"Hancock County Sheriff's Department"," ME","Sheriff"
"15","Customs Inspector John Stout","Fri","Gunfire","Jan",1814,FALSE,"United States Department of the Treasury - Customs Service"," US","Customs Officers"
"16","Sheriff John Coor Pender","Mon","Gunfire","Jan",1816,FALSE,"Wayne County Sheriff's Office"," NC","Sheriff"
"17","Sheriff Caleb Hewitt","Mon","Assault","Sep",1816,FALSE,"Davidson County Sheriff's Office"," TN","Sheriff"
"18","Deputy Sheriff William Huddleston","Fri","Assault","Oct",1818,FALSE,"Schoharie County Sheriff's Department"," NY","Sheriff"
"19","Constable Jacob Dearduff, Sr.","Sat","Stabbed","Feb",1823,FALSE,"Jamestown Police Department"," OH","Constable"
"20","Constable Elijah Chenault","Mon","Assault","Aug",1823,FALSE,"Alexandria Police Department"," VA","Constable"
"21","Constable Robert Murphy","Thu","Stabbed","Nov",1824,FALSE,"Franklin County Sheriff's Department"," IN","Constable"
"22","Constable William Davidson","Thu","Gunfire","Apr",1825,FALSE,"Pennsylvania State Constable - Venango County"," PA","Constable"
"23","Watch Officer Jonathan Houghton","Mon","Assault","Dec",1825,FALSE,"Boston Watch"," MA","Watchman"
"24","Watchman Gerrard Arnold","Sun","Assault","Sep",1827,FALSE,"Alexandria Police Department"," VA","Watchman"
"25","Watchman Steven Heimer","Tue","Gunfire","Jan",1828,FALSE,"Philadelphia Police Department"," PA","Watchman"
"26","Sheriff Thomas Griffin Thornton","Sat","Gunfire","Jun",1830,FALSE,"Caroline County Sheriff's Office"," VA","Sheriff"
"27","Town Sergeant John Smith","Thu","Assault","Jun",1832,FALSE,"Foster Police Department"," RI","Sergeant"
"28","Guard Ezra Hoskins","Wed","Assault","May",1833,FALSE,"Connecticut Department of Correction"," CT","Guard"
"29","Sheriff William Gresham","Thu","Stabbed","Jan",1834,FALSE,"Harrison County Sheriff's Department"," IN","Sheriff"
"30","Constable Moore C. Wisdom","Sat","Stabbed","Aug",1834,FALSE,"Purdy Constable's Office"," TN","Constable"
"31","Watchman Lewis L. Leuba","Wed","Stabbed","Apr",1836,FALSE,"New York City Watch"," NY","Watchman"
"32","Constable William Mull","Thu","Stabbed","Apr",1836,FALSE,"St. Louis Metropolitan Police Department"," MO","Constable"
"33","Deputy Sheriff George Hammond","Thu","Stabbed","Apr",1836,FALSE,"St. Louis Metropolitan Police Department"," MO","Sheriff"
"34","Watchman Kim Hudson","Sun","Stabbed","Aug",1836,FALSE,"New York City Watch"," NY","Watchman"
"35","Private David Clark","Sat","Gunfire","Jan",1837,FALSE,"Texas Rangers"," TX","Private"
"36","Second Lieutenant Alfred H. Miles","Fri","Assault","Nov",1837,FALSE,"Texas Rangers"," TX","Lieutenant"
"37","Private Jesse Blair","Fri","Assault","Nov",1837,FALSE,"Texas Rangers"," TX","Private"
"38","Private Alexander Bostwick","Fri","Gunfire","Nov",1837,FALSE,"Texas Rangers"," TX","Private"
"39","Private James Christian","Fri","Assault","Nov",1837,FALSE,"Texas Rangers"," TX","Private"
"40","Private Joseph Cooper","Fri","Gunfire","Nov",1837,FALSE,"Texas Rangers"," TX","Private"
"41","Private James Joslen","Fri","Assault","Nov",1837,FALSE,"Texas Rangers"," TX","Private"
"42","Private Westley Nicholson","Fri","Assault","Nov",1837,FALSE,"Texas Rangers"," TX","Private"
"43","Private William Nicholson","Fri","Gunfire","Nov",1837,FALSE,"Texas Rangers"," TX","Private"
"44","Private William Sanders","Fri","Gunfire","Nov",1837,FALSE,"Texas Rangers"," TX","Private"
"45","Private Lewis F. Scheuster","Fri","Assault","Nov",1837,FALSE,"Texas Rangers"," TX","Private"
"46","Deputy Sheriff Nester Young","Mon","Gunfire","Jan",1838,FALSE,"Ashtabula County Sheriff's Department"," OH","Sheriff"
"47","Private Julius Bullock","Fri","Assault","Oct",1838,FALSE,"Texas Rangers"," TX","Private"
"48","Private John W. Carpenter","Fri","Assault","Oct",1838,FALSE,"Texas Rangers"," TX","Private"
"49","Private Thomas M. Scott","Fri","Assault","Oct",1838,FALSE,"Texas Rangers"," TX","Private"
"50","Private John Wilson","Fri","Assault","Oct",1838,FALSE,"Texas Rangers"," TX","Private"
"51","Private James Hall","Mon","Assault","Dec",1838,FALSE,"Texas Rangers"," TX","Private"
"52","Deputy U.S. Marshal John Gatewood","Sat","Gunfire","Feb",1839,FALSE,"United States Department of Justice - United States Marshals Service"," US","Marshal"
"53","Captain Jacob Shipman Burleson","Mon","Gunfire","Feb",1839,FALSE,"Texas Rangers"," TX","Captain"
"54","Private Edward Blakey","Mon","Gunfire","Feb",1839,FALSE,"Texas Rangers"," TX","Private"
"55","Private John B. Walters","Mon","Gunfire","Feb",1839,FALSE,"Texas Rangers"," TX","Private"
"56","Private James Gilleland","Thu","Gunfire","Mar",1839,FALSE,"Texas Rangers"," TX","Private"
"57","Captain John Bird","Sun","Assault","May",1839,FALSE,"Texas Rangers"," TX","Captain"
"58","First Sergeant William H. Weaver","Sun","Gunfire","May",1839,FALSE,"Texas Rangers"," TX","Sergeant"
"59","Private Jesse E. Nash","Sun","Assault","May",1839,FALSE,"Texas Rangers"," TX","Private"
"60","Private Thomas Gay","Sun","Gunfire","May",1839,FALSE,"Texas Rangers"," TX","Private"
"61","Private H. M. C. Hall","Mon","Gunfire","May",1839,FALSE,"Texas Rangers"," TX","Private"
"62","Watchman James P. Van Duzen","Tue","Fall","Jun",1839,FALSE,"New York City Watch"," NY","Watchman"
"63","Sheriff Joseph L. Hood","Thu","Stabbed","Mar",1840,FALSE,"Bexar County Sheriff's Office"," TX","Sheriff"
"64","Town Marshal John Yeomans","Sun","Gunfire","May",1840,FALSE,"Jacksonville Police Department"," FL","Marshal"
"65","Sheriff John B. Campbell","Sat","Gunfire","Jan",1841,FALSE,"Harrison County Sheriff's Office"," TX","Sheriff"
"66","Guard Cyrus Sells","Wed","Assault","Jun",1841,FALSE,"Ohio Department of Rehabilitation and Correction"," OH","Guard"
"67","Prison Guard William Bullard","Mon","Assault","Jun",1841,FALSE,"Missouri Department of Corrections"," MO","Guard"
"68","Private Abram Trigg Smith","Thu","Gunfire","Aug",1841,FALSE,"Texas Rangers"," TX","Private"
"69","Sheriff Thomas Wooldridge","Thu","Gunfire","May",1842,FALSE,"Dubois County Sheriff's Department"," IN","Sheriff"
"70","Warden Charles Lincoln, Jr.","Sun","Stabbed","Jun",1843,FALSE,"Massachusetts Department of Correction"," MA","Warden"
"71","Sheriff Samuel B. Wingo","Thu","Gunfire","Aug",1843,FALSE,"Shannon County Sheriff's Department"," MO","Sheriff"
"72","Sheriff George Lee Phillips","Sat","Drowned","Sep",1843,FALSE,"Ashe County Sheriff's Office"," NC","Sheriff"
"73","Sheriff Robert D. Lester","Thu","Gunfire","Mar",1844,FALSE,"Crawford County Sheriff's Department"," WI","Sheriff"
"74","Sheriff Lewis Williams","Fri","Gunfire","Apr",1844,FALSE,"Jackson County Sheriff's Department"," FL","Sheriff"
"75","Private Peter Fohr","Sat","Assault","Jun",1844,FALSE,"Texas Rangers"," TX","Private"
"76","Keeper James Gastin","Thu","Assault","Oct",1844,FALSE,"Pennsylvania Department of Corrections"," PA","Keeper"
"77","Undersheriff Osman N. Steele","Thu","Gunfire","Aug",1845,FALSE,"Delaware County Sheriff's Office"," NY","Sheriff"
"78","Constable John Holton","Mon","Stabbed","Nov",1845,FALSE,"Augusta Police Department"," KY","Constable"
"79","Sheriff Lansford Stallings","Thu","Gunfire","Dec",1845,FALSE,"Cherokee County Sheriff's Office"," AL","Sheriff"
"80","Lieutenant John M. Brown","Sun","Stabbed","Dec",1845,FALSE,"Cherokee Nation Marshal Service"," TR","Lieutenant"
"81","Sheriff Samuel Grimmett","Sun","Gunfire","Apr",1847,FALSE,"Montgomery County Sheriff's Office"," TX","Sheriff"
"82","Deputy Sheriff William Armstrong","Fri","Gunfire","Jun",1847,FALSE,"Hampshire County Sheriff's Office"," VA","Sheriff"
"83","Sheriff Enoch B. Morelock","Sun","Gunfire","Dec",1847,FALSE,"Sullivan County Sheriff's Office"," MO","Sheriff"
"84","Watchman David Estes","Thu","Gunfire","Apr",1848,FALSE,"Boston Watch"," MA","Watchman"
"85","Watchman John Brasher","Sun","Gunfire","May",1849,FALSE,"Cincinnati Police Department"," OH","Watchman"
"86","Watchman Peter Davison","Mon","Stabbed","Jun",1849,FALSE,"Cincinnati Police Department"," OH","Watchman"
"87","Patrolman Thomas Lynch","Thu","Assault","Sep",1849,FALSE,"New York Municipal Police Force"," NY","Patrolman"
"88","Patrolman William Helms","Tue","Structure collapse","Oct",1849,FALSE,"New York Municipal Police Force"," NY","Patrolman"
"89","Major Charles Grandison Bryant","Sat","Assault","Jan",1850,FALSE,"Texas Rangers"," TX","Major"
"90","Police Officer Ephraim Hibler","Sun","Gunfire","May",1850,FALSE,"St. Louis Metropolitan Police Department"," MO","Police Officer"
"91","Private William Gillespie","Wed","Assault","May",1850,FALSE,"Texas Rangers"," TX","Private"
"92","Sheriff Joseph McKinney","Thu","Gunfire","Aug",1850,FALSE,"Sacramento County Sheriff's Department"," CA","Sheriff"
"93","Private John Lemon Wilbarger","Tue","Gunfire","Aug",1850,FALSE,"Texas Rangers"," TX","Private"
"94","Private Daniel C. ""Doc"" Sullivan","Tue","Gunfire","Aug",1850,FALSE,"Texas Rangers"," TX","Private"
"95","Private Samuel Baker Barton","Mon","Assault","Jan",1851,FALSE,"Texas Rangers"," TX","Private"
"96","Private William Lackey","Mon","Assault","Feb",1851,FALSE,"Texas Rangers"," TX","Private"
"97","Patrolman George T. Gillespie","Thu","Assault","Jul",1851,FALSE,"New York Municipal Police Force"," NY","Patrolman"
"98","Sergeant Michael Foster","Mon","Stabbed","Aug",1851,FALSE,"New York Municipal Police Force"," NY","Sergeant"
"99","Posseman Edward Gorsuch","Thu","Gunfire","Sep",1851,FALSE,"United States Department of Justice - United States Marshals Service"," US","Posseman"
"100","Deputy Sheriff David Neil","Sat","Gunfire","Sep",1851,FALSE,"Smith County Sheriff's Office"," TX","Sheriff"
"101","Deputy Sheriff James Holden","Sat","Gunfire","Sep",1851,FALSE,"Smith County Sheriff's Office"," TX","Sheriff"
"102","Night Policeman William Baker","Fri","Fire","Dec",1851,FALSE,"Philadelphia Police Department"," PA","Police Officer"
"103","Captain Chin Chi Kee","Sat","Gunfire","Jan",1852,FALSE,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement"," US","Captain"
"104","Sheriff James Preston Fulkerson","Sun","Gunfire","Apr",1852,FALSE,"Calhoun County Sheriff's Office"," TX","Sheriff"
"105","Deputy Sheriff Moses Formwalt","Sat","Stabbed","May",1852,FALSE,"DeKalb County Sheriff's Office"," GA","Sheriff"
"106","Watchman William T. Pullan","Tue","Assault","May",1852,FALSE,"Providence City Watch"," RI","Watchman"
"107","Constable Gideon Manchester","Fri","Gunfire","Jul",1852,FALSE,"Fall River Police Department"," MA","Constable"
"108","Watchman Joseph Stoddard","Fri","Stabbed","Sep",1852,FALSE,"Cincinnati Police Department"," OH","Watchman"
"109","Deputy Sheriff Wesley F. Cherry","Sun","Gunfire","Mar",1853,FALSE,"King County Sheriff's Office"," WA","Sheriff"
"110","Night Watchman Samuel H. Ferguson","Thu","Stabbed","Apr",1853,FALSE,"Pittsburgh Night Watch"," PA","Watchman"
"111","Deputy Sheriff Rodney Badger","Fri","Drowned","Apr",1853,FALSE,"Salt Lake County Sheriff's Office"," UT","Sheriff"
"112","Shadow George Trenchard","Thu","Fire","Jun",1853,FALSE,"New York Municipal Police Force"," NY","Detective"
"113","Watchman John Osborne","Thu","Stabbed","Dec",1853,FALSE,"Cleveland Police Department"," OH","Watchman"
"114","Constable James Quinn","Mon","Assault","Dec",1853,FALSE,"Chicago Police Department"," IL","Constable"
"115","Constable Jack Wheelan","Wed","Stabbed","Dec",1853,FALSE,"Los Angeles County Constable's Office"," CA","Constable"
"116","Police Officer George R. Turner","Fri","Gunfire","Apr",1854,FALSE,"Stockton Police Department"," CA","Police Officer"
"117","Officer Cyrus Beebe","Thu","Gunfire","Apr",1854,FALSE,"Columbus Division of Police"," OH","Police Officer"
"118","Deputy U.S. Marshal James Batchelder","Fri","Gunfire","May",1854,FALSE,"United States Department of Justice - United States Marshals Service"," US","Marshal"
"119","Constable William H. Hardmount","Sat","Gunfire","Sep",1854,FALSE,"Monterey County Constable's Office"," CA","Constable"
"120","Patrolman Casper Lauer","Mon","Stabbed","Sep",1854,FALSE,"Chicago Police Department"," IL","Patrolman"
"121","Patrolman James Cahill","Fri","Gunfire","Sep",1854,FALSE,"New York Municipal Police Force"," NY","Patrolman"
"122","Police Officer Maxwell Badgley","Mon","Stabbed","Oct",1854,FALSE,"Newark Police Department"," NJ","Police Officer"
"123","Patrolman David Gourley","Sun","Stabbed","Nov",1854,FALSE,"New York Municipal Police Force"," NY","Patrolman"
"124","Deputy Sheriff William Harrison Reams","Fri","Stabbed","Nov",1854,FALSE,"Laurel County Sheriff's Department"," KY","Sheriff"
"125","Policeman John Sheldon","Sun","Stabbed","Apr",1855,FALSE,"Sonora Police Department"," CA","Police Officer"
"126","Sheriff William A. Phoenix","Sun","Gunfire","Aug",1855,FALSE,"Amador County Sheriff's Department"," CA","Sheriff"
"127","Indian Agent Andrew J. Bolon","Tue","Stabbed","Sep",1855,FALSE,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement"," US","Agent"
"128","Private William H. Clopton","Wed","Gunfire","Oct",1855,FALSE,"Texas Rangers"," TX","Private"
"129","Private Willis E. Jones","Wed","Gunfire","Oct",1855,FALSE,"Texas Rangers"," TX","Private"
"130","Private H. K. Holland","Wed","Gunfire","Oct",1855,FALSE,"Texas Rangers"," TX","Private"
"131","Private Augustus Smith","Wed","Gunfire","Oct",1855,FALSE,"Texas Rangers"," TX","Private"
"132","Deputy Sheriff Charles Layton","Sat","Gunfire","Nov",1855,FALSE,"Monterey County Sheriff's Department"," CA","Sheriff"
"133","Deputy Sheriff Joaquin De La Torre","Sat","Gunfire","Nov",1855,FALSE,"Monterey County Sheriff's Department"," CA","Sheriff"
"134","Deputy Sheriff Jim Beckwith","Sat","Gunfire","Nov",1855,FALSE,"Monterey County Sheriff's Department"," CA","Sheriff"
"135","Marshal William H. Richardson","Sat","Gunfire","Nov",1855,FALSE,"United States Department of Justice - United States Marshals Service"," US","Marshal"
"136","Night Watchman Thomas Cummins","Sat","Assault","Nov",1855,FALSE,"New Haven Police Department"," CT","Watchman"
"137","Marshal Eli R. Doyle","Thu","Fall","Dec",1855,FALSE,"United States Department of Justice - United States Marshals Service"," US","Marshal"
"138","Police Officer Alexander Algeo","Wed","Gunfire","Mar",1856,FALSE,"New Orleans Police Department"," LA","Police Officer"
"139","Lieutenant Levi Parker","Sun","Gunfire","May",1856,FALSE,"Cincinnati Police Department"," OH","Lieutenant"
"140","Watchman Neil Mooney","Sun","Gunfire","May",1856,FALSE,"Philadelphia Police Department"," PA","Watchman"
"141","City Marshal David Johnson","Mon","Gunfire","Nov",1856,FALSE,"Nevada City Police Department"," CA","Marshal"
"142","Sheriff W. W. Wright","Mon","Gunfire","Nov",1856,FALSE,"Nevada County Sheriff's Office"," CA","Sheriff"
"143","Sheriff John F. Taylor","Tue","Gunfire","Nov",1856,FALSE,"Winnebago County Sheriff's Office"," IL","Sheriff"
"144","Night Watchman John Omayer","Thu","Gunfire (Accidental)","Nov",1856,FALSE,"Baltimore City Police Department"," MD","Watchman"
"145","Police Officer William I. Van Arsdale","Sun","Drowned","Dec",1856,FALSE,"New Brunswick Police Department"," NJ","Police Officer"
"146","Deputy Warden Galen Carter Walker","Mon","Stabbed","Dec",1856,FALSE,"Massachusetts Department of Correction"," MA","Warden"
"147","Warden Solon Tenney","Mon","Stabbed","Dec",1856,FALSE,"Massachusetts Department of Correction"," MA","Warden"
"148","Sheriff James R. Barton","Fri","Gunfire","Jan",1857,FALSE,"Los Angeles County Sheriff's Department"," CA","Sheriff"
"149","Constable Charles K. Baker","Fri","Gunfire","Jan",1857,FALSE,"Los Angeles County Sheriff's Department"," CA","Constable"
"150","Deputy Charles T. Daly","Fri","Gunfire","Jan",1857,FALSE,"Los Angeles County Sheriff's Department"," CA","Deputy"
"151","Constable William H. Little","Fri","Gunfire","Jan",1857,FALSE,"Los Angeles County Sheriff's Department"," CA","Constable"
"152","Sheriff James M. Land","Sun","Gunfire","Mar",1857,FALSE,"Estill County Sheriff's Department"," KY","Sheriff"
"153","Deputy Sheriff Jessie Arvin","Sun","Gunfire","Mar",1857,FALSE,"Estill County Sheriff's Department"," KY","Sheriff"
"154","Patrolman Stephen P. Hardenbrook","Wed","Stabbed","Apr",1857,FALSE,"New York Municipal Police Force"," NY","Patrolman"
"155","Deputized Civilian William B.M. Barbee","Sun","Gunfire","May",1857,FALSE,"Burleson County Constable's Office - Precinct 3"," TX","Deputized Civilian"
"156","Assistant City Marshal Frederick W. Fieldstrup","Fri","Gunfire","May",1857,FALSE,"San Antonio Police Department"," TX","Marshal"
"157","Special Patrolman Thomas Sparks","Thu","Assault","Jul",1857,FALSE,"New York Metropolitan Police Force"," NY","Patrolman"
"158","Patrolman Eugene Anderson","Mon","Gunfire","Jul",1857,FALSE,"New York Metropolitan Police Force"," NY","Patrolman"
"159","Sergeant William Jourdan","Wed","Gunfire","Oct",1857,FALSE,"Baltimore City Police Department"," MD","Sergeant"
"160","Patrolman Ezekiel Wentworth Hodsdon","Sun","Gunfire","Oct",1857,FALSE,"Boston Police Department"," MA","Patrolman"
"161","Patrolman Horatio Sanger","Sun","Assault","Nov",1857,FALSE,"New York Metropolitan Police Force"," NY","Patrolman"
"162","Sheriff William C. Getman","Thu","Gunfire","Jan",1858,FALSE,"Los Angeles County Sheriff's Department"," CA","Sheriff"
"163","Sheriff Samuel Lee Lockhart","Sat","Stabbed","Jan",1858,FALSE,"Llano County Sheriff's Office"," TX","Sheriff"
"164","Special Police Officer George C. Chapman","Tue","Gunfire","Apr",1858,FALSE,"Sacramento Police Department"," CA","Police Officer"
"165","Private William Earbee","Wed","Gunfire (Accidental)","May",1858,FALSE,"Texas Rangers"," TX","Private"
"166","Private Robert Nickles","Wed","Stabbed","May",1858,FALSE,"Texas Rangers"," TX","Private"
"167","Private Waco Indian","Wed","Gunfire","May",1858,FALSE,"Texas Rangers"," TX","Private"
"168","City Marshal Joseph Beard","Sat","Stabbed","Jul",1858,FALSE,"Lexington Police Department"," KY","Marshal"
"169","Deputy Sheriff Travis Gibson","Tue","Stabbed","Aug",1858,FALSE,"Campbell County Sheriff's Office"," TN","Sheriff"
"170","Sheriff Sampson D. Queener","Tue","Stabbed","Aug",1858,FALSE,"Campbell County Sheriff's Office"," TN","Sheriff"
"171","Patrolman George Coulter","Tue","Gunfire","Aug",1858,FALSE,"Louisville Police Department"," KY","Patrolman"
"172","Police Officer Benjamin Benton","Wed","Gunfire","Sep",1858,FALSE,"Baltimore City Police Department"," MD","Police Officer"
"173","Police Officer William Cooke","Mon","Gunfire","Oct",1858,FALSE,"Salt Lake City Police Department"," UT","Police Officer"
"174","Police Officer Robert M. Rigdon","Mon","Gunfire","Nov",1858,FALSE,"Baltimore City Police Department"," MD","Police Officer"
"175","Policeman Joel N. McDonald","Fri","Gunfire","Nov",1858,FALSE,"Columbia Police Department"," CA","Police Officer"
"176","Constable John Leary","Mon","Gunfire","Nov",1858,FALSE,"Columbia Police Department"," CA","Constable"
"177","Constable David Welch","Tue","Gunfire","Jan",1859,FALSE,"Henderson County Sheriff's Office"," IL","Constable"
"178","Deputy Sheriff George W. Martin","Mon","Gunfire","Jul",1859,FALSE,"Placer County Sheriff's Department"," CA","Sheriff"
"179","Jailer Robert L. Johnson","Wed","Gunfire","Sep",1859,FALSE,"Cameron County Sheriff's Office"," TX","Jailer"
"180","Constable George Morris","Wed","Gunfire","Sep",1859,FALSE,"Cameron County Constable's Office - Precinct 2"," TX","Constable"
"181","Private John Fox","Wed","Gunfire","Nov",1859,FALSE,"Texas Rangers"," TX","Private"
"182","Private Thomas Grier","Wed","Gunfire","Nov",1859,FALSE,"Texas Rangers"," TX","Private"
"183","Private William McKay","Wed","Gunfire","Nov",1859,FALSE,"Texas Rangers"," TX","Private"
"184","Private Nicholas R. Milett","Wed","Gunfire","Nov",1859,FALSE,"Texas Rangers"," TX","Private"
"185","Private David Herman","Wed","Gunfire","Dec",1859,FALSE,"Texas Rangers"," TX","Private"
"186","Patrolman John Steward","Tue","Structure collapse","Dec",1859,FALSE,"New York Metropolitan Police Force"," NY","Patrolman"
"187","Private Fountain B. Woodruff","Sat","Gunfire","Feb",1860,FALSE,"Texas Rangers"," TX","Private"
"188","Sheriff Thomas S. Milligan","Sun","Assault","Feb",1860,FALSE,"Mason County Sheriff's Department"," TX","Sheriff"
"189","Officer C. Edward Foley","Sat","Gunfire","Mar",1860,FALSE,"Houston Police Department"," TX","Police Officer"
"190","Deputy U.S. Marshal Leonard Armes","Fri","Gunfire","Apr",1860,FALSE,"United States Department of Justice - United States Marshals Service"," US","Marshal"
"191","Patrolman W. Stith Tucker","Sat","Stabbed","May",1860,FALSE,"Memphis Police Department"," TN","Patrolman"
"192","Police Officer Levi Washington Davis","Mon","Gunfire","May",1860,FALSE,"Springville Police Department"," UT","Police Officer"
"193","Patrol Officer William Loughrey","Tue","Stabbed","Jun",1860,FALSE,"Cambridge Police Department"," MA","Police Officer"
"194","Deputy Sheriff Thomas Shain","Mon","Gunfire","Jul",1860,FALSE,"Collin County Sheriff's Office"," TX","Sheriff"
"195","Constable Miles Huntsman","Thu","Gunfire","Jul",1860,FALSE,"Amador County Constable's Office"," CA","Constable"
"196","Deputy Thomas Nolan","Wed","Gunfire","Aug",1860,FALSE,"Nueces County Sheriff's Office"," TX","Deputy"
"197","Officer Claborne Long","Wed","Stabbed","Jan",1861,FALSE,"Cincinnati Police Department"," OH","Police Officer"
"198","Officer Daniel Hallam","Thu","Stabbed","Jan",1861,FALSE,"Cincinnati Police Department"," OH","Police Officer"
"199","Sheriff Jesse Sut Harris","Thu","Gunfire","Jun",1861,FALSE,"Brown County Sheriff's Department"," TX","Sheriff"
"200","Officer Patrick Nuttle","Tue","Stabbed","Jun",1861,FALSE,"Cincinnati Police Department"," OH","Police Officer"
"201","Policeman Nehum M. Pratte","Mon","Gunfire","Jun",1861,FALSE,"St. Louis Metropolitan Police Department"," MO","Police Officer"
"202","Keeper Augustus T. Wright","Thu","Assault","Jul",1861,FALSE,"New York State Department of Correctional Services"," NY","Keeper"
"203","Patrolman David Martin","Tue","Stabbed","Aug",1861,FALSE,"New York Metropolitan Police Force"," NY","Patrolman"
"204","Sheriff John B. York","Sat","Stabbed","Aug",1861,FALSE,"Tarrant County Sheriff's Department"," TX","Sheriff"
"205","Sheriff John L. Blackburn","Thu","Stabbed","Nov",1861,FALSE,"Carson County Sheriff's Office"," NV","Sheriff"
"206","Police Officer John C. Gilmore","Tue","Gunfire","Dec",1861,FALSE,"St. Louis Metropolitan Police Department"," MO","Police Officer"
"207","Patrolman John W. Causey","Tue","Stabbed","Dec",1861,FALSE,"Memphis Police Department"," TN","Patrolman"
"208","Patrolman Ben S. Rust","Thu","Gunfire","Jan",1862,FALSE,"Louisville Police Department"," KY","Patrolman"
"209","Warden Daniel Webster","Thu","Stabbed","Mar",1862,FALSE,"Connecticut Department of Correction"," CT","Warden"
"210","Sheriff N. F. Scott","Sat","Gunfire","Apr",1862,FALSE,"Mono County Sheriff's Office"," CA","Sheriff"
"211","Constable John Welch","Mon","Gunfire","Apr",1862,FALSE,"Evansville Police Department"," IN","Constable"
"212","Patrolman Henry L. Williams","Tue","Gunfire","Oct",1862,FALSE,"New York Metropolitan Police Force"," NY","Patrolman"
"213","Deputy Sheriff Martin Roohan","Thu","Stabbed","Oct",1862,FALSE,"Santa Clara County Sheriff's Office"," CA","Sheriff"
"214","Sergeant John Sturdy","Fri","Assault","Apr",1863,FALSE,"St. Louis Metropolitan Police Department"," MO","Sergeant"
"215","Police Officer Dennis McMahon","Sun","Gunfire","Apr",1863,FALSE,"Virginia City Police Department"," NV","Police Officer"
"216","Police Officer Thomas Reed","Sun","Gunfire","Apr",1863,FALSE,"Virginia City Police Department"," NV","Police Officer"
"217","Warden Richard Tinker","Thu","Stabbed","May",1863,FALSE,"Maine Department of Corrections"," ME","Warden"
"218","Deputy Sheriff D. H. Dillingham","Mon","Gunfire","Jun",1863,FALSE,"Bannock County Sheriff's Department"," ID","Sheriff"
"219","Patrolman Edward Dippel","Sun","Gunfire","Jul",1863,FALSE,"New York Metropolitan Police Force"," NY","Patrolman"
"220","Patrolman Peter McIntyre","Sun","Assault","Aug",1863,FALSE,"New York Metropolitan Police Force"," NY","Patrolman"
"221","Officer John F. Baylis","Wed","Gunfire","Sep",1863,FALSE,"Wilmington Police Department"," DE","Police Officer"
"222","Sheriff William H. Tainter","Fri","Drowned","Oct",1863,FALSE,"Mendocino County Sheriff's Office"," CA","Sheriff"
"223","Patrolman John T. Van Buren","Sat","Assault","Nov",1863,FALSE,"New York Metropolitan Police Force"," NY","Patrolman"
"224","Inspector William Bird Goodell","Wed","Drowned","Dec",1863,FALSE,"United States Department of the Treasury - Customs Service"," US","Inspector"
"225","Deputy Collector James M. Anderson","Wed","Drowned","Dec",1863,FALSE,"United States Department of the Treasury - Customs Service"," US","Deputy"
"226","Patrolman John Starkey","Wed","Assault","Jan",1864,FALSE,"New York Metropolitan Police Force"," NY","Patrolman"
"227","Patrolman Austin H. Easterbrook","Sat","Animal related","Feb",1864,FALSE,"New York Metropolitan Police Force"," NY","Patrolman"
"228","Special Agent Garrett W. Freer","Mon","Gunfire","May",1864,FALSE,"United States Army Criminal Investigation Division"," US","Special Agent"
"229","Deputy Warden Joseph T. Clark","Sun","Assault","May",1864,FALSE,"Illinois Department of Corrections"," IL","Warden"
"230","Patrolman George W. Duryea","Mon","Gunfire","May",1864,FALSE,"New York Metropolitan Police Force"," NY","Patrolman"
