"","person","day","cause_short","month","year","canine","dept_name","state","position"
"17838","Police Officer John Drew Seifert","Sat","Gunfire","Dec",1987,FALSE,"Ozark Police Department"," AL","Police Officer"
"17839","Correctional Officer Jack L. Budd","Sun","Stabbed","Dec",1987,FALSE,"Michigan Department of Corrections"," MI","Correctional Officer"
"17840","Police Officer Janice Marlene Vanderveer","Sun","Struck by vehicle","Dec",1987,FALSE,"Burleson Police Department"," TX","Police Officer"
"17841","Patrol Specialist Lee R. Seward","Wed","Gunfire","Dec",1987,FALSE,"Chicago Police Department"," IL","Patrolman"
"17842","K9 Ado","Thu","Heat exhaustion","Jan",1987,TRUE,"Maricopa County Sheriff's Office"," AZ","K9"
"17843","K9 Joker","Mon","Stabbed","Feb",1987,TRUE,"Penn Hills Police Department"," PA","K9"
"17844","K9 Bandit","Thu","Gunfire","Apr",1987,TRUE,"Cincinnati Police Department"," OH","K9"
"17845","K9 Beau","Tue","Heat exhaustion","Sep",1987,TRUE,"Florida Highway Patrol"," FL","K9"
"17846","K9 Richter","Mon","Stabbed","Sep",1987,TRUE,"Los Angeles Police Department"," CA","K9"
"17847","Correctional Officer Jeffery B. Blakey","Tue","Assault","Jan",1988,FALSE,"Cook County Sheriff's Office - Department of Corrections"," IL","Correctional Officer"
"17848","Detective Sergeant Mario Alberto Salas","Thu","Vehicle pursuit","Jan",1988,FALSE,"Del Rio Police Department"," TX","Detective"
"17849","Deputy Sheriff Jack B. Miller","Sat","Gunfire","Jan",1988,FALSE,"Los Angeles County Sheriff's Department"," CA","Sheriff"
"17850","Officer James Allen Joe","Thu","Gunfire","Jan",1988,FALSE,"Dallas Police Department"," TX","Police Officer"
"17851","Special Agent Virgil Lee Bensyl","Fri","Gunfire","Jan",1988,FALSE,"Illinois State Police"," IL","Special Agent"
"17852","Deputy Sheriff Kenneth D. Nelson","Sun","Struck by vehicle","Jan",1988,FALSE,"Cumberland County Sheriff's Office"," TN","Sheriff"
"17853","Police Officer Arthur E. Ford","Mon","Heart attack","Jan",1988,FALSE,"Stockton Police Department"," CA","Police Officer"
"17854","Detective Mark Alan Bolhouse","Tue","Heart attack","Jan",1988,FALSE,"Fort Myers Police Department"," FL","Detective"
"17855","Sergeant Richard Earl Deffner","Thu","Gunfire","Jan",1988,FALSE,"Sacramento County Sheriff's Department"," CA","Sergeant"
"17856","Deputy Sheriff Mary C. Mohr","Thu","Automobile accident","Jan",1988,FALSE,"Vilas County Sheriff's Department"," WI","Sheriff"
"17857","Officer John Glenn Chase","Sat","Gunfire","Jan",1988,FALSE,"Dallas Police Department"," TX","Police Officer"
"17858","Auxiliary Lieutenant Nicholas Galasso","Tue","Heart attack","Jan",1988,FALSE,"Larchmont Police Department"," NY","Lieutenant"
"17859","Lieutenant Freddie Floyd House","Thu","Gunfire","Jan",1988,FALSE,"Utah Department of Corrections"," UT","Lieutenant"
"17860","Patrolman Jerry L. Hartless","Sun","Gunfire","Jan",1988,FALSE,"San Diego Police Department"," CA","Patrolman"
"17861","Deputy Sheriff Jack Allerton Romeis","Mon","Vehicle pursuit","Feb",1988,FALSE,"Alachua County Sheriff's Office"," FL","Sheriff"
"17862","Deputy Sheriff James Marshall Richardson","Mon","Heart attack","Feb",1988,FALSE,"Pulaski County Sheriff's Department"," KY","Sheriff"
"17863","Detective Terry Wayne McNett","Wed","Gunfire","Feb",1988,FALSE,"Sedgwick County Sheriff's Office"," KS","Detective"
"17864","Special Agent George M. Montoya","Fri","Gunfire","Feb",1988,FALSE,"United States Department of Justice - Drug Enforcement Administration"," US","Special Agent"
"17865","Cadet W. E. Bayless, III","Fri","Heart attack","Feb",1988,FALSE,"North Carolina Highway Patrol"," NC","Cadet"
"17866","Special Agent Paul S. Seema","Sat","Gunfire","Feb",1988,FALSE,"United States Department of Justice - Drug Enforcement Administration"," US","Special Agent"
"17867","Officer Scott Stanton Smith","Sat","Motorcycle accident","Feb",1988,FALSE,"Odessa Police Department"," TX","Police Officer"
"17868","Deputy Sheriff Gary Douglas Blackwood","Sun","Electrocuted","Feb",1988,FALSE,"Dorchester County Sheriff's Office"," SC","Sheriff"
"17869","Detective Robert W. Wallis","Tue","Vehicular assault","Feb",1988,FALSE,"Denver Police Department"," CO","Detective"
"17870","Detective Thomas J. Gill","Wed","Struck by train","Feb",1988,FALSE,"Boston Police Department"," MA","Detective"
"17871","Deputy Sheriff Charles E. Lovett","Fri","Heart attack","Feb",1988,FALSE,"Baxter County Sheriff's Department"," AR","Sheriff"
"17872","Police Officer Julie A. Englehardt","Fri","Gunfire","Feb",1988,FALSE,"Lansing Police Department"," MI","Police Officer"
"17873","Patrolman Wayne G. Allison","Sat","Aircraft accident","Feb",1988,FALSE,"New Mexico State Police"," NM","Patrolman"
"17874","Police Officer Andre Keith Williams, Sr.","Tue","Drowned","Feb",1988,FALSE,"Mississippi River Bridge Authority Police Department"," LA","Police Officer"
"17875","Chief of Police Jessie William Lundy","Wed","Gunfire (Accidental)","Feb",1988,FALSE,"Leesville Police Department"," SC","Chief of Police"
"17876","Detective Sherman C. Griffiths","Thu","Gunfire","Feb",1988,FALSE,"Boston Police Department"," MA","Detective"
"17877","Officer Andrew Winzer","Thu","Automobile accident","Feb",1988,FALSE,"Houston Police Department"," TX","Police Officer"
"17878","Police Officer Edward R. Byrne","Fri","Gunfire","Feb",1988,FALSE,"New York City Police Department"," NY","Police Officer"
"17879","Officer Gary Don McCarthy","Fri","Gunfire","Feb",1988,FALSE,"Dallas Police Department"," TX","Police Officer"
"17880","Lieutenant Earl James Kennicutt","Wed","Heart attack","Mar",1988,FALSE,"Ramsey County Sheriff's Department"," MN","Lieutenant"
"17881","Patrolman Donald V. Deford","Mon","Heart attack","Mar",1988,FALSE,"Lincoln Township Police Department"," MI","Patrolman"
"17882","Special Agent Jerry William Kramer","Thu","Automobile accident","Mar",1988,FALSE,"United States Naval Criminal Investigative Service"," US","Special Agent"
"17883","Special Agent Douglas Brian Kocina","Thu","Automobile accident","Mar",1988,FALSE,"United States Naval Criminal Investigative Service"," US","Special Agent"
"17884","Deputy Sheriff Wayne Martin Bryant, Jr.","Fri","Gunfire","Mar",1988,FALSE,"Pulaski County Sheriff's Office"," AR","Sheriff"
"17885","Deputy Sheriff Eugene James Heimann","Mon","Gunfire","Mar",1988,FALSE,"Fort Bend County Sheriff's Office"," TX","Sheriff"
"17886","Officer Paul Douglas Hulsey, Jr.","Tue","Gunfire","Mar",1988,FALSE,"Beaumont Police Department"," TX","Police Officer"
"17887","Trooper Samuel F. Holcomb, Jr.","Sun","Struck by vehicle","Mar",1988,FALSE,"Tennessee Highway Patrol"," TN","Trooper"
"17888","Sergeant George Aguilar","Thu","Gunfire","Mar",1988,FALSE,"Inglewood Police Department"," CA","Sergeant"
"17889","Police Officer Victor Estefan","Thu","Gunfire","Mar",1988,FALSE,"Miami Police Department"," FL","Police Officer"
"17890","Deputy Sheriff Robert J. Shaw","Sat","Heart attack","Apr",1988,FALSE,"Monterey County Sheriff's Department"," CA","Sheriff"
"17891","Trooper First Class Eric Dwight Monk","Sat","Struck by vehicle","Apr",1988,FALSE,"Maryland State Police"," MD","Trooper"
"17892","Police Officer Daniel Allen Jarema","Wed","Automobile accident","Apr",1988,FALSE,"Lockport Police Department"," IL","Police Officer"
"17893","Police Officer Anthony Oswald McLean","Wed","Gunfire","Apr",1988,FALSE,"New York City Housing Authority Police Department"," NY","Police Officer"
"17894","Patrol Officer Aubrey Eugene McCurry","Fri","Vehicular assault","Apr",1988,FALSE,"Myrtle Point Police Department"," OR","Police Officer"
"17895","Sergeant John F. McCormick","Wed","Gunfire (Accidental)","Apr",1988,FALSE,"New York City Police Department"," NY","Sergeant"
"17896","Patrolman Alton Embry, Jr.","Sat","Automobile accident","May",1988,FALSE,"Louisville Police Department"," KY","Patrolman"
"17897","Patrolman Stephen A. Sandlin","Sat","Gunfire","May",1988,FALSE,"Mountainair Police Department"," NM","Patrolman"
"17898","Patrol Officer Joseph Francis Doyle","Sun","Assault","May",1988,FALSE,"Brown University Police Department"," RI","Police Officer"
"17899","Deputy Sheriff Bobby Earl Raulston","Mon","Aircraft accident","May",1988,FALSE,"Dale County Sheriff's Office"," AL","Sheriff"
"17900","Trooper John A. Andrulewicz","Mon","Automobile accident","May",1988,FALSE,"Pennsylvania State Police"," PA","Trooper"
"17901","Special Agent Scott Kershaw Carey","Tue","Automobile accident","May",1988,FALSE,"United States Department of Justice - Federal Bureau of Investigation"," US","Special Agent"
"17902","Police Officer Steven Lee Ticer","Thu","Vehicular assault","May",1988,FALSE,"Florence Police Department"," AL","Police Officer"
"17903","Police Officer Helen P. Cardwell","Thu","Automobile accident","May",1988,FALSE,"Chicago Police Department"," IL","Police Officer"
